protocol,ether_src_mac,ether_dst_mac,ip_src,ip_dst,ip_len,ip_flags_df,ip_flags_mf,ip_frag_offset,ip_id,ip_ttl,ip_proto,ip_checksum,tcp_window_size,tcp_ack,tcp_seq,tcp_len,tcp_stream,tcp_urgent_pointer,tcp_flags,tcp_analysis_ack_rtt,tcp_analysis_push_bytes_sent,tcp_analysis_bytes_in_flight,frame_time_relative,frame_time_delta,modbus_length,modbus_unit_id,modbus_func_code,modbus_data,attack_specific,attack_category,attack_obj,attack_binary
MODBUS,2a:5a:cb:7a:8e:57,3a:28:b4:02:e8:91,192.168.0.12,192.168.0.21,63,1,0,0,0xa699,64,6,0x12ae,509,937,848,11,0,0,0x0018,0.000426633,11,11,15.505053340,0.000426633,N/A,N/A,4,020079,N/A,N/A,N/A,0
TCP,3a:28:b4:02:e8:91,2a:5a:cb:7a:8e:57,192.168.0.21,192.168.0.12,52,1,0,0,0xf097,64,6,0xc8ba,502,859,937,0,0,0,0x0010,0.000018454,N/A,N/A,15.505071794,0.000018454,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MODBUS,3a:28:b4:02:e8:91,4e:d1:fa:b3:e4:46,192.168.0.21,192.168.0.13,64,1,0,0,0xee76,64,6,0xcace,502,342,373,12,2,0,0x0018,N/A,12,12,15.685525818,0.180454024,N/A,N/A,4,001e0001,N/A,N/A,N/A,0
MODBUS,4e:d1:fa:b3:e4:46,3a:28:b4:02:e8:91,192.168.0.13,192.168.0.21,63,1,0,0,0xe599,64,6,0xd3ac,509,385,342,11,2,0,0x0018,0.000702335,11,11,15.686228153,0.000702335,N/A,N/A,4,020079,N/A,N/A,N/A,0
TCP,3a:28:b4:02:e8:91,4e:d1:fa:b3:e4:46,192.168.0.21,192.168.0.13,52,1,0,0,0xee77,64,6,0xcad9,502,353,385,0,2,0,0x0010,0.000018785,N/A,N/A,15.686246938,0.000018785,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MODBUS,3a:28:b4:02:e8:91,2a:5a:cb:7a:8e:57,192.168.0.21,192.168.0.12,64,1,0,0,0xf098,64,6,0xc8ad,502,859,937,12,0,0,0x0018,N/A,12,12,15.705569273,0.019322335,N/A,N/A,4,001e0001,N/A,N/A,N/A,0
MODBUS,2a:5a:cb:7a:8e:57,3a:28:b4:02:e8:91,192.168.0.12,192.168.0.21,63,1,0,0,0xa69a,64,6,0x12ad,509,949,859,11,0,0,0x0018,0.000499879,11,11,15.706069152,0.000499879,N/A,N/A,4,020079,N/A,N/A,N/A,0
TCP,3a:28:b4:02:e8:91,2a:5a:cb:7a:8e:57,192.168.0.21,192.168.0.12,52,1,0,0,0xf099,64,6,0xc8b8,502,870,949,0,0,0,0x0010,0.000022151,N/A,N/A,15.706091303,0.000022151,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MODBUS,3a:28:b4:02:e8:91,2a:5a:cb:7a:8e:57,192.168.0.21,192.168.0.12,64,1,0,0,0xf09a,64,6,0xc8ab,502,870,949,12,0,0,0x0018,N/A,12,12,15.906912874,0.200821571,N/A,N/A,4,001e0001,N/A,N/A,N/A,0
MODBUS,2a:5a:cb:7a:8e:57,3a:28:b4:02:e8:91,192.168.0.12,192.168.0.21,63,1,0,0,0xa69b,64,6,0x12ac,509,961,870,11,0,0,0x0018,0.000850019,11,11,15.907762893,0.000850019,N/A,N/A,4,020079,N/A,N/A,N/A,0
