protocol,ether_src_mac,ether_dst_mac,ip_src,ip_dst,ip_len,ip_flags_df,ip_flags_mf,ip_frag_offset,ip_id,ip_ttl,ip_proto,ip_checksum,tcp_window_size,tcp_ack,tcp_seq,tcp_len,tcp_stream,tcp_urgent_pointer,tcp_flags,tcp_analysis_ack_rtt,tcp_analysis_push_bytes_sent,tcp_analysis_bytes_in_flight,frame_time_relative,frame_time_delta,modbus_length,modbus_unit_id,modbus_func_code,modbus_data,attack_specific,attack_category,attack_obj,attack_binary
MODBUS,d6:a4:f0:6f:d6:c6,3a:28:b4:02:e8:91,192.168.0.14,192.168.0.21,64,1,0,0,0x10ca,64,6,0xa87a,509,169,157,12,1,0,0x0018,0.000722731,12,12,13.141138200,0.000722731,N/A,N/A,5,00000000,N/A,N/A,N/A,0
TCP,3a:28:b4:02:e8:91,d6:a4:f0:6f:d6:c6,192.168.0.21,192.168.0.14,52,1,0,0,0xb5a0,64,6,0x03b0,502,169,169,0,1,0,0x0010,0.000035556,N/A,N/A,13.141173756,0.000035556,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MODBUS,3a:28:b4:02:e8:91,4e:d1:fa:b3:e4:46,192.168.0.21,192.168.0.13,64,1,0,0,0xee6c,64,6,0xcad8,502,287,313,12,2,0,0x0018,N/A,12,12,13.175697069,0.034523313,N/A,N/A,4,001e0001,N/A,N/A,N/A,0
MODBUS,4e:d1:fa:b3:e4:46,3a:28:b4:02:e8:91,192.168.0.13,192.168.0.21,63,1,0,0,0xe594,64,6,0xd3b1,509,325,287,11,2,0,0x0018,0.000806376,11,11,13.176503445,0.000806376,N/A,N/A,4,020078,N/A,N/A,N/A,0
TCP,3a:28:b4:02:e8:91,4e:d1:fa:b3:e4:46,192.168.0.21,192.168.0.13,52,1,0,0,0xee6d,64,6,0xcae3,502,298,325,0,2,0,0x0010,0.000029465,N/A,N/A,13.176532910,0.000029465,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MODBUS,3a:28:b4:02:e8:91,2a:5a:cb:7a:8e:57,192.168.0.21,192.168.0.12,64,1,0,0,0xf080,64,6,0xc8c5,502,727,793,12,0,0,0x0018,N/A,12,12,13.289107824,0.112574914,N/A,N/A,4,001e0001,N/A,N/A,N/A,0
MODBUS,2a:5a:cb:7a:8e:57,3a:28:b4:02:e8:91,192.168.0.12,192.168.0.21,63,1,0,0,0xa68e,64,6,0x12b9,509,805,727,11,0,0,0x0018,0.000778595,11,11,13.289886419,0.000778595,N/A,N/A,4,020079,N/A,N/A,N/A,0
TCP,3a:28:b4:02:e8:91,2a:5a:cb:7a:8e:57,192.168.0.21,192.168.0.12,52,1,0,0,0xf081,64,6,0xc8d0,502,738,805,0,0,0,0x0010,0.000021009,N/A,N/A,13.289907428,0.000021009,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MODBUS,3a:28:b4:02:e8:91,2a:5a:cb:7a:8e:57,192.168.0.21,192.168.0.12,64,1,0,0,0xf082,64,6,0xc8c3,502,738,805,12,0,0,0x0018,N/A,12,12,13.490269003,0.200361575,N/A,N/A,4,001e0001,N/A,N/A,N/A,0
MODBUS,2a:5a:cb:7a:8e:57,3a:28:b4:02:e8:91,192.168.0.12,192.168.0.21,63,1,0,0,0xa68f,64,6,0x12b8,509,817,738,11,0,0,0x0018,0.000458160,11,11,13.490727163,0.000458160,N/A,N/A,4,020079,N/A,N/A,N/A,0
